GENE	Screen_1	Screen_2	Screen_3	Screen_4
Gene673	1.04	1.12	0.991	1.06
Gene674	1.02	1.13	1.11	1.04
Gene675	1.03	0.984	1.02	1
Gene676	1.04	0.979	1.01	0.99
Gene677	1.04	0.982	1.07	1.09
Gene678	1.05	0.993	1.12	0.995
Gene679	1	0.993	0.869	1.06
Gene680	1.03	1.11	0.998	1.01
Gene681	0.998	1.04	1.02	1.07
Gene682	1.05	1.02	1.06	1.01
Gene683	0.998	0.99	1.1	1.04
Gene684	0.994	1.02	0.998	1.02
Gene685	0.998	0.99	0.985	1.01
Gene686	0.999	1.01	1.01	1.06
Gene687	NA	1.07	NA	NA
Gene688	0.991	1.12	0.986	1
Gene689	0.996	0.985	1.09	1.06
Gene690	0.998	1.13	1	1.05
Gene691	1.05	1.08	1.03	1
Gene692	0.992	1.08	0.983	0.998
Gene693	0.995	1.1	1.09	1.06
Gene694	1	0.985	1.13	1.06
Gene695	0.993	0.994	1.1	1.07
Gene696	0.998	0.985	1.12	1.02
Gene697	0.991	0.979	0.983	0.998
Gene698	0.754	0.35	1.01	0.996
Gene699	0.99	1.08	1.07	0.999
Gene700	0.999	1.04	1.14	0.999
Gene701	0.993	0.987	0.991	1.01
Gene702	1.03	1.03	1	0.996
Gene703	1.04	0.983	0.982	1
Gene704	1	0.976	1.06	1.07
Gene705	1.04	0.979	0.987	1.03
Gene706	0.995	0.979	1.09	1.08
Gene707	0.993	1.03	1.08	1.06
Gene708	0.994	1.13	0.983	0.991
Gene709	1	1	0.99	0.99
Gene710	1.02	1.02	0.982	1.06
Gene711	1.05	1.04	1.01	0.994
Gene712	1.02	0.996	0.989	1.02
Gene713	1.05	1.13	1.13	1.01
Gene714	0.905	0.977	1.1	0.995
Gene715	1	0.948	0.982	1.04
Gene716	1.05	1.18	1.1	1.06
Gene717	1.03	1.12	1.05	1.03
Gene718	0.992	0.979	1.13	0.99
Gene719	1.04	0.979	1.13	0.994
Gene720	1.04	0.991	1.02	1.03
Gene721	1.02	0.978	1.07	0.989
Gene722	1.04	1.12	1.02	1.04
Gene723	0.992	1.05	1.13	1.03
Gene724	0.991	0.999	0.996	1.03
Gene725	0.992	1.02	1.08	0.998
Gene726	NA	1.02	NA	NA
Gene727	1	1.04	1.02	1.01
Gene728	1.05	0.979	1.08	0.989
Gene729	1.04	1.02	1.13	1.02
Gene730	0.995	1.04	1.1	1.06
Gene731	1.05	0.981	NA	NA
Gene732	1.04	1.01	0.99	0.991
Gene733	0.996	1.01	1.05	0.992
Gene734	0.992	1.12	1.01	1.08
Gene735	1.02	1.17	1.02	1.01
Gene736	0.994	0.977	1.01	1.02
Gene737	1.03	1.05	0.993	0.998
Gene738	0.996	1.06	1.04	1.01
Gene739	0.992	1.12	0.986	1.05
Gene740	1.05	0.984	1.13	1.03
Gene741	0.993	1.09	1.02	1.05
Gene742	NA	1.09	1.07	1.03
Gene743	0.994	1.15	0.985	1
Gene744	1.02	1.17	1.09	1.03
Gene745	0.996	1.09	NA	NA
Gene746	1.05	1.04	1.06	NA
Gene747	1	0.799	1.07	1.06
Gene748	1.03	0.991	0.981	0.99
Gene749	1.05	1.04	1.08	0.994
Gene750	1.03	1.17	0.988	0.996
Gene751	1	1.05	1.07	1.01
Gene752	1.02	1.09	0.982	0.994
Gene753	1	0.978	0.982	0.991
Gene754	1.04	0.986	0.982	1
Gene755	0.991	0.978	0.983	0.99
Gene756	1.03	1.17	0.983	1.02
Gene757	1.05	1.13	0.982	0.992
Gene758	1	0.983	0.981	0.992
Gene759	1.03	0.986	1.11	1.01
Gene760	0.992	1.16	0.982	0.993
Gene761	1.06	1.13	1.09	1.03
Gene762	1.03	0.99	0.982	0.992
Gene763	1	1.13	0.982	1.01
Gene764	0.999	1.03	1.08	1.08
Gene765	1.04	1.04	1.09	1.02
Gene766	0.992	0.982	1.05	1.08
Gene767	1	1.01	1.1	1.07
Gene768	1.01	1.11	0.988	0.989
Gene769	NA	1.09	NA	NA
Gene770	0.995	1	0.988	0.989
Gene771	0.996	1.08	0.993	0.994
Gene772	1.01	1.12	1.13	0.365
Gene773	1	1.05	1.1	1.07
Gene774	1.02	0.981	0.982	1.08
Gene775	1.03	1.1	0.983	0.991
Gene776	1.05	0.983	0.986	1.01
Gene777	1	0.986	1.08	1.01
Gene778	0.991	1.14	1.05	1.09
Gene779	1.03	0.99	1.02	1.07
Gene780	1.02	1.05	1.13	0.99
Gene781	0.995	1.09	1.04	1.04
Gene782	1.03	0.994	1.11	1.03
Gene783	0.997	0.979	0.992	1.09
Gene784	0.999	0.989	1.01	1.08
Gene785	0.995	1.14	1.12	1.08
Gene786	1.05	0.987	1.1	0.994
Gene787	1.01	0.99	1.08	1.06
Gene788	1	0.985	1.09	1.07
Gene789	1.05	1.12	1.12	1.06
Gene790	0.369	0.794	0.993	1.04
Gene791	0.996	1.12	0.982	1.06
Gene792	1.04	1.12	1.1	0.988
Gene793	1.04	1.08	0.997	0.996
Gene794	0.996	1.15	1	1.01
Gene795	0.996	0.999	0.994	0.996
Gene796	0.996	0.977	1.08	1.02
Gene797	1.02	1.01	1.12	0.996
Gene798	0.992	1.03	1.02	1.02
Gene799	NA	1.16	NA	NA
Gene800	1.02	0.991	0.402	0.213
Gene801	0.995	1.07	0.981	1.02
Gene802	1.02	1.13	1.07	1.01
Gene803	0.0503	1.06	1.01	0.994
Gene804	1.01	0.985	1.11	0.99
Gene805	1.05	0.98	1.04	1.07
Gene806	1.05	1.07	0.982	1.07
Gene807	1.05	0.984	1.13	0.989
Gene808	1.05	1.02	1.08	1
Gene809	1.03	0.987	1.12	1.07
Gene810	1.05	1.05	1.02	0.991
Gene811	1.01	1.1	1.07	1.07
Gene812	1.02	1.14	1.06	1.01
Gene813	1.03	0.983	1.11	0.99
Gene814	1.05	0.981	0.993	1.06
Gene815	0.992	0.977	0.991	1
Gene816	0.991	0.989	0.981	0.99
Gene817	1.05	0.982	1.06	1.06
Gene818	1.02	1.12	0.79	1.07
Gene819	1.05	1.12	0.991	1
Gene820	1.04	1.13	0.986	0.996
Gene821	1.05	0.977	1.09	0.641
Gene822	0.992	0.977	0.993	1.02
Gene823	1.01	1	1.12	1.01
Gene824	0.993	0.994	1.09	0.995
Gene825	1.03	0.977	1.13	0.994
Gene826	1.01	1.01	1.14	1.08
Gene827	1.03	0.979	0.981	0.999
Gene828	1.06	0.992	1.13	1.08
Gene829	1.04	1.08	1.07	NA
Gene830	1.02	0.976	1.06	1
Gene831	NA	0.983	NA	NA
Gene832	0.992	1.13	1.01	1.09
Gene833	0.999	0.981	1.01	0.995
Gene834	1.01	1.12	1.12	1.08
Gene835	0.996	1.12	1.09	1.03
Gene836	NA	0.979	NA	NA
Gene837	0.995	1.12	1.06	1.09
Gene838	1.05	0.994	0.982	1.05
Gene839	0.604	1.06	1.08	1
Gene840	0.997	0.978	1.04	1.06
Gene841	0.992	1.01	1	1.02
Gene842	1.05	0.979	0.983	1
Gene843	0.996	1.14	1.05	1.01
Gene844	1	1.1	1.03	1.01
Gene845	1.06	1.11	1.13	1.08
Gene846	1.05	1.12	0.992	1.06
Gene847	1.04	0.977	1.1	1.03
Gene848	NA	1.03	NA	NA
Gene849	0.709	0.98	1.05	1.02
Gene850	1.04	0.977	1.12	1.09
Gene851	1.04	0.978	1.12	1.06
Gene852	1.02	0.988	1.07	0.994
Gene853	1.04	1.09	1.09	1.05
Gene854	1.02	1.02	1.07	1.01
Gene855	1.04	1	0.983	0.998
Gene856	1	1.17	1.05	1.01
Gene857	1.05	0.978	1.12	0.991
Gene858	0.995	1.14	1.06	1.08
Gene859	0.995	0.979	0.993	1
Gene860	1.04	0.986	1.13	1.04
Gene861	1.01	1.13	1.01	1.08
Gene862	1.04	1.08	0.997	1.01
Gene863	0.996	1.02	0.981	1.09
Gene864	0.995	0.986	0.983	1.06
Gene865	0.994	1.09	0.985	0.992
Gene866	1.02	1.04	1.09	0.989
Gene867	0.688	0.977	1.03	0.994
Gene868	1.05	1.01	0.986	1
Gene869	1.02	1.16	1.1	1.07
Gene870	1.03	1.05	1.06	1.06
Gene871	1	1.03	1.13	0.99
Gene872	1.06	1.17	1.1	0.998
Gene873	1.01	1.09	1.07	0.991
Gene874	0.993	0.987	1.01	1.07
Gene875	1.02	0.978	0.982	0.99
Gene876	1.02	0.991	1.12	0.631
Gene877	1.06	1.04	1.04	0.991
Gene878	1.03	0.978	0.999	0.997
Gene879	1.04	0.992	1.09	1.02
Gene880	0.992	0.986	1.04	1.05
Gene881	0.996	1.14	1.12	1.08
Gene882	1.04	0.978	1.02	1
Gene883	1.05	0.986	1.06	1.03
Gene884	1.05	0.977	0.971	1.02
Gene885	1.03	1.09	0.982	1
Gene886	0.992	0.982	1.05	1.04
Gene887	1.03	1.13	1	1.01
Gene888	1.05	0.977	0.993	0.992
Gene889	0.991	0.977	0.982	0.994
Gene890	1.04	0.977	1.07	1.08
Gene891	0.993	0.984	1.08	1.04
Gene892	1.04	1	0.983	1.02
Gene893	0.994	1.14	1.03	1.03
Gene894	1.01	0.978	1.07	1.06
Gene895	1.02	0.981	1.05	1.01
Gene896	1.04	1.01	1.05	1.08
Gene897	1.03	0.979	1.04	0.997
Gene898	1	0.984	0.988	1
Gene899	1.04	1.05	1.06	0.995
Gene900	1.05	1.02	1.01	1.02
Gene901	0.992	1.04	0.993	1.01
Gene902	1	1.03	0.982	1.02
Gene903	1.04	0.984	0.982	1.02
Gene904	1.03	0.991	0.983	0.992
Gene905	0.994	1.15	0.985	0.992
Gene906	0.994	1.03	0.987	1.04
Gene907	0.995	0.977	0.997	1.02
Gene908	1	1.09	1.07	1.06
Gene909	1.01	0.991	1.1	1.06
Gene910	0.994	0.991	1.07	0.989
Gene911	1.02	0.995	1.05	0.978
Gene912	0.993	1.12	1.09	1.06
Gene913	1	1.03	1.13	0.867
Gene914	0.992	1.11	NA	NA
Gene915	1.01	1.13	1.07	0.996
Gene916	1.03	1.12	0.982	1.02
Gene917	1.02	0.998	0.983	1.07
Gene918	1.04	1.09	1.06	1.09
Gene919	0.992	0.983	0.981	1.02
Gene920	0.995	1.01	1.13	1.09
Gene921	1.03	1.14	0.982	0.994
Gene922	1.04	0.984	0.996	0.998
Gene923	1.03	1.09	1.02	1.01
Gene924	0.992	0.985	1.13	1.03
Gene925	0.996	1.03	NA	NA
Gene926	0.991	0.989	1.13	1
Gene927	0.992	1.11	NA	NA
Gene928	1.04	0.985	1.09	0.995
Gene929	1.01	1.12	1.12	1.08
Gene930	1.01	1.1	0.982	0.997
Gene931	1.05	1.14	1.12	1.05
Gene932	1.05	1.08	0.982	0.99
Gene933	NA	0.986	1.01	NA
Gene934	1.02	1.14	1.03	1.01
Gene935	1.01	0.977	1.1	1.06
Gene936	NA	0.981	NA	NA
Gene937	1.05	1.15	1.11	1.05
Gene938	1.04	1.1	1.09	1.03
Gene939	0.995	0.977	1.14	0.991
Gene940	1.01	0.998	1.01	0.991
Gene941	1.02	1.01	1.01	0.99
Gene942	1.05	1.13	1.05	0.993
Gene943	1.04	1.17	1.12	1.01
Gene944	0.995	1.12	1.03	1.06
Gene945	1.04	1.07	1.05	0.985
Gene946	0.762	0.977	1.09	1.06
Gene947	1.02	1.08	1.03	1.04
Gene948	0.991	0.979	1.01	0.99
Gene949	1.01	0.994	1.1	1
Gene950	1.05	0.984	0.983	1
Gene951	1.05	1.14	0.983	1.01
Gene952	1.03	0.977	0.983	0.991
Gene953	1.05	1.04	1.04	1.06
Gene954	1.06	1.02	0.984	1.03
Gene955	1.06	0.99	1.12	1.08
Gene956	1.03	1.02	0.998	1.06
Gene957	0.992	1.04	1.01	1.06
Gene958	1.05	0.984	0.998	1
Gene959	1.02	1.1	1.12	0.994
Gene960	0.995	1.06	0.995	0.995
Gene961	0.995	0.995	1.09	1.08
Gene962	1.02	1.11	1.11	1.06
Gene963	1.02	1.14	0.999	1.06
Gene964	1.03	1.06	1.01	1.03
Gene965	1.04	0.907	1.01	0.99
Gene966	0.992	0.98	0.982	1
Gene967	NA	NA	1.06	1.05
Gene968	1.05	1.02	1.06	1.04
Gene969	1.04	0.984	0.983	0.991
Gene970	1.05	1.11	1.04	1.01
Gene971	1.03	1.08	1.05	1.06
Gene972	0.992	0.988	1.02	1
Gene973	0.995	1.09	1.12	1.01
Gene974	0.999	0.977	1.1	1.09
Gene975	1.03	1.13	0.987	0.989
Gene976	1.02	1.02	0.983	0.991
Gene977	1.05	0.979	0.982	1
Gene978	0.993	1.01	0.999	1.07
Gene979	1.01	0.997	1.04	1
Gene980	1.05	1.12	1.02	1.03
Gene981	1.01	1.04	1.04	1.08
Gene982	0.991	0.977	1.01	1.02
Gene983	1.01	1.17	0.993	1.08
Gene984	0.995	0.983	1.12	0.992
Gene985	1	0.995	1.02	1.02
Gene986	0.996	0.977	1.12	1.06
Gene987	1.03	0.987	1.08	0.99
Gene988	0.998	0.977	1.11	1.05
Gene989	1.01	1.17	1.07	1.08
Gene990	0.767	1.18	1.02	1.06
Gene991	0.992	1.07	1.05	1.04
Gene992	0.999	1.09	1.11	1.03
Gene993	1.03	1.07	1	1
Gene994	1.03	1.06	1.05	1.06
Gene995	1.03	0.983	1	0.993
Gene996	1.02	0.995	0.985	0.99
Gene997	1.04	0.993	0.983	0.989
Gene998	1	0.977	1.01	1
Gene999	0.952	1.14	0.999	1
Gene1000	1.05	0.982	1.07	1.01
